ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
1,松下智能电视Mini,13,11,5个/套,3409.02,201,136,85,0,智能电视,松下智能电器
2,小米智能插座Advanced,1,3,3个/套,8343.26,170,90,48,0,智能插座,小米智能家居
3,谷歌智能开关Standard,5,14,2个/包,8033.74,226,6,18,0,智能开关,谷歌智能设备
4,格力智能手环Mini,10,13,1个/盒,5018.46,750,29,50,0,智能手环,格力智能电器
5,飞利浦智能洗衣机Elite,7,9,2个/包,9807.96,562,3,70,0,智能洗衣机,飞利浦智能照明
6,博世智能摄像头Ultra,11,5,2个/包,4516.72,31,183,60,0,智能摄像头,博世智能系统
7,谷歌智能空气净化器Standard,5,17,3个/套,2534.8,216,21,14,0,智能空气净化器,谷歌智能设备
8,苹果智能空调Max,3,10,1个/盒,3175.58,67,168,78,0,智能空调,苹果智能家庭
9,松下智能空调Lite,13,10,1套/箱,5843.73,846,23,66,0,智能空调,松下智能电器
10,小米智能音箱Basic,1,1,1台/件,7776.01,312,175,69,0,智能音箱,小米智能家居
