ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
8,4,BG551,2.2,2026-03-27,"客户ID: BG551
客户公司: 彩虹网络有限公司互联网服务
客户所在地: 永安县, 中国
产品信息: 格力智能手环Mini (类别: 智能手环)
生产商: 格力智能电器
产品价格: 5018.46
评分: 2.2星
评价日期: 2026年03月27日
评价内容: ""使用后感觉，这款智能手环使用体验很差。使用不到一周就出现了问题。""",132,智能手环,格力智能手环Mini,彩虹网络有限公司互联网服务
23,8,EL529,1.4,2026-03-10,"客户ID: EL529
客户公司: 菊风公司传媒有限公司云计算
客户所在地: 淑兰县, 中国
产品信息: 苹果智能空调Max (类别: 智能空调)
生产商: 苹果智能家庭
产品价格: 3175.58
评分: 1.4星
评价日期: 2026年03月10日
评价内容: ""使用一周后出现故障，使用说明不清，售后服务也不好。""",125,智能空调,苹果智能空调Max,菊风公司传媒有限公司云计算
12,4,EL529,2.3,2026-02-13,"客户ID: EL529
客户公司: 菊风公司传媒有限公司云计算
客户所在地: 淑兰县, 中国
产品信息: 格力智能手环Mini (类别: 智能手环)
生产商: 格力智能电器
产品价格: 5018.46
评分: 2.3星
评价日期: 2026年02月13日
评价内容: ""使用一周后出现故障，反应迟钝，售后服务也不好。""",123,智能手环,格力智能手环Mini,菊风公司传媒有限公司云计算
9,10,DE965,4.3,2026-02-02,"客户ID: DE965
客户公司: 凌云科技有限公司生物科技
客户所在地: 永安县, 中国
产品信息: 小米智能音箱Basic (类别: 智能音箱)
生产商: 小米智能家居
产品价格: 7776.01
评分: 4.3星
评价日期: 2026年02月02日
评价内容: ""使用了一个月，操作简单，没有发现任何问题。""",120,智能音箱,小米智能音箱Basic,凌云科技有限公司生物科技
3,10,VK239,4.8,2026-01-27,"客户ID: VK239
客户公司: 图龙信息传媒有限公司虚拟现实
客户所在地: 畅市, 中国
产品信息: 小米智能音箱Basic (类别: 智能音箱)
生产商: 小米智能家居
产品价格: 7776.01
评分: 4.8星
评价日期: 2026年01月27日
评价内容: ""智能音箱的设计很人性化，做工精细，值得推荐。""",122,智能音箱,小米智能音箱Basic,图龙信息传媒有限公司虚拟现实
4,3,KL704,3.6,2026-01-05,"客户ID: KL704
客户公司: 凌云网络有限公司数字科技
客户所在地: 浩县, 中国
产品信息: 谷歌智能开关Standard (类别: 智能开关)
生产商: 谷歌智能设备
产品价格: 8033.74
评分: 3.6星
评价日期: 2026年01月05日
评价内容: ""总体来说还行，智能化程度高，就是兼容性差。""",119,智能开关,谷歌智能开关Standard,凌云网络有限公司数字科技
17,4,WQ244,1.7,2026-01-01,"客户ID: WQ244
客户公司: 兰金电子传媒有限公司互联网服务
客户所在地: 哈尔滨市, 中国
产品信息: 格力智能手环Mini (类别: 智能手环)
生产商: 格力智能电器
产品价格: 5018.46
评分: 1.7星
评价日期: 2026年01月01日
评价内容: ""不推荐这款智能手环，稳定性差，很失望。""",122,智能手环,格力智能手环Mini,兰金电子传媒有限公司互联网服务
19,1,AA953,4.2,2025-12-13,"客户ID: AA953
客户公司: 四通信息有限公司生物科技
客户所在地: 斌市, 中国
产品信息: 松下智能电视Mini (类别: 智能电视)
生产商: 松下智能电器
产品价格: 3409.02
评分: 4.2星
评价日期: 2025年12月13日
评价内容: ""智能电视的设计很人性化，音质出色，值得推荐。""",120,智能电视,松下智能电视Mini,四通信息有限公司生物科技
28,5,JV501,2.8,2025-12-12,"客户ID: JV501
客户公司: 凌颖信息科技有限公司互联网服务
客户所在地: 宁德市, 中国
产品信息: 飞利浦智能洗衣机Elite (类别: 智能洗衣机)
生产商: 飞利浦智能照明
产品价格: 9807.96
评分: 2.8星
评价日期: 2025年12月12日
评价内容: ""不推荐这款智能洗衣机，稳定性差，很失望。""",126,智能洗衣机,飞利浦智能洗衣机Elite,凌颖信息科技有限公司互联网服务
18,7,XE988,3.9,2025-12-10,"客户ID: XE988
客户公司: MBP软件网络有限公司金融科技
客户所在地: 莉县, 中国
产品信息: 谷歌智能空气净化器Standard (类别: 智能空气净化器)
生产商: 谷歌智能设备
产品价格: 2534.8
评分: 3.9星
评价日期: 2025年12月10日
评价内容: ""总体来说还行，续航时间长，就是安装困难。""",125,智能空气净化器,谷歌智能空气净化器Standard,MBP软件网络有限公司金融科技
14,9,OV840,2.8,2025-10-28,"客户ID: OV840
客户公司: 惠派国际公司信息有限公司信息技术
客户所在地: 淑兰市, 中国
产品信息: 松下智能空调Lite (类别: 智能空调)
生产商: 松下智能电器
产品价格: 5843.73
评分: 2.8星
评价日期: 2025年10月28日
评价内容: ""对这款智能空调非常不满意，安装困难，浪费钱。""",125,智能空调,松下智能空调Lite,惠派国际公司信息有限公司信息技术
24,10,VD175,1.5,2025-10-13,"客户ID: VD175
客户公司: 凌颖信息信息有限公司智能科技
客户所在地: 关岭县, 中国
产品信息: 小米智能音箱Basic (类别: 智能音箱)
生产商: 小米智能家居
产品价格: 7776.01
评分: 1.5星
评价日期: 2025年10月13日
评价内容: ""这款产品有严重问题，续航时间短，已经申请退款。""",124,智能音箱,小米智能音箱Basic,凌颖信息信息有限公司智能科技
30,3,WQ244,2.5,2025-09-18,"客户ID: WQ244
客户公司: 兰金电子传媒有限公司互联网服务
客户所在地: 哈尔滨市, 中国
产品信息: 谷歌智能开关Standard (类别: 智能开关)
生产商: 谷歌智能设备
产品价格: 8033.74
评分: 2.5星
评价日期: 2025年09月18日
评价内容: ""使用后感觉，这款智能开关性价比极低。使用不到一周就出现了问题。""",134,智能开关,谷歌智能开关Standard,兰金电子传媒有限公司互联网服务
15,9,CG280,2.8,2025-09-16,"客户ID: CG280
客户公司: 商软冠联传媒有限公司大数据分析
客户所在地: 成都县, 中国
产品信息: 松下智能空调Lite (类别: 智能空调)
生产商: 松下智能电器
产品价格: 5843.73
评分: 2.8星
评价日期: 2025年09月16日
评价内容: ""不推荐这款智能空调，稳定性差，很失望。""",121,智能空调,松下智能空调Lite,商软冠联传媒有限公司大数据分析
20,10,IF750,2.0,2025-07-12,"客户ID: IF750
客户公司: 联通时科科技有限公司区块链技术
客户所在地: 娟县, 中国
产品信息: 小米智能音箱Basic (类别: 智能音箱)
生产商: 小米智能家居
产品价格: 7776.01
评分: 2.0星
评价日期: 2025年07月12日
评价内容: ""不推荐这款智能音箱，画质模糊，很失望。""",120,智能音箱,小米智能音箱Basic,联通时科科技有限公司区块链技术
11,8,UP827,1.3,2025-06-07,"客户ID: UP827
客户公司: 惠派国际公司信息有限公司智能科技
客户所在地: 昆明市, 中国
产品信息: 苹果智能空调Max (类别: 智能空调)
生产商: 苹果智能家庭
产品价格: 3175.58
评分: 1.3星
评价日期: 2025年06月07日
评价内容: ""对这款智能空调非常不满意，做工一般，浪费钱。""",125,智能空调,苹果智能空调Max,惠派国际公司信息有限公司智能科技
