SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,小米智能家居,杨兰英,CEO,安徽省贵阳市滨城合肥街u座 984470,梧州市,重庆市,272766,中国,13345595137,13369266710,http://www.小米智能家居.com
2,华为智能生活,张宁,CEO,北京市淑华市安次周路l座 124953,娟市,河南省,249931,中国,18260150062,18713698202,http://www.华为智能生活.com
3,苹果智能家庭,芮静,销售经理,北京市梧州县永川宁德街q座 199403,济南县,海南省,628659,中国,13075250064,18740074315,http://www.苹果智能家庭.com
4,亚马逊智能科技,黄琴,市场总监,浙江省福州市六枝特澳门街v座 340565,澳门县,贵州省,968652,中国,15952014494,14763429121,http://www.亚马逊智能科技.com
5,谷歌智能设备,鞠玉华,CTO,内蒙古自治区北镇市海港张路Z座 489785,鑫县,广东省,617100,中国,13053769982,18868988495,http://www.谷歌智能设备.com
6,三星智能家电,屈想,业务经理,重庆市丽华市高明亓路s座 324642,婷婷市,河南省,924832,中国,18636551288,15123596112,http://www.三星智能家电.com
7,飞利浦智能照明,姚飞,销售代表,山西省东莞县长寿熊路t座 489079,福州县,贵州省,325519,中国,14535496408,13662636310,http://www.飞利浦智能照明.com
8,海尔智慧家庭,武帅,市场总监,浙江省桂花市金平徐街S座 658691,颖市,重庆市,601060,中国,13871852530,18268274276,http://www.海尔智慧家庭.com
9,美的智能科技,李丽,市场总监,贵州省阳县西夏兰州路l座 367148,桂兰县,北京市,125508,中国,15714531200,13035845068,http://www.美的智能科技.com
10,格力智能电器,孙晨,销售代表,上海市桂花县海陵淮安街l座 465174,马鞍山市,上海市,188563,中国,15866450606,15041510168,http://www.格力智能电器.com
11,博世智能系统,张丽丽,销售代表,广西壮族自治区辛集县门头沟拉萨街R座 675760,重庆县,内蒙古自治区,243472,中国,13248177966,18247317486,http://www.博世智能系统.com
12,西门子智能家居,黄丹,CEO,重庆市超市黄浦上海路l座 804093,南宁市,新疆维吾尔自治区,882980,中国,14522462851,18594099249,http://www.西门子智能家居.com
13,松下智能电器,林洁,CEO,宁夏回族自治区利市萧山尚街y座 347975,建平市,陕西省,933321,中国,13402146665,13885128247,http://www.松下智能电器.com
14,索尼智能科技,许涛,市场总监,天津市齐齐哈尔市大兴兰州街J座 609334,荣市,海南省,275875,中国,18945463822,18898944213,http://www.索尼智能科技.com
15,LG智能家电,邬玉英,CEO,广西壮族自治区金凤县魏都徐路x座 590089,梧州市,湖北省,876275,中国,18086738443,18669836415,http://www.lg智能家电.com
